#=====================================================
# File created:        Sat-09-Mar-2024-at-08-30-32PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        36.301768
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2572.6689  0.2576 
   00001    0.6820   -3762.4528  0.2703 
   00002    0.6204   -4533.3557  0.2720 
   00003    0.5860   -5041.6224  0.2722 
   00004    0.5564   -5378.4518  0.2856 
   00005    0.5312   -5705.3362  0.2790 
   00006    0.5204   -5849.1898  0.2637 
   00007    0.4812   -6110.8663  0.2636 
   00008    0.4696   -6201.5515  0.2599 
   00009    0.4992   -6398.2529  0.2641 
   00010    0.4764   -6521.5348  0.2630 
   00011    0.4676   -6609.7716  0.2648 
   00012    0.4692   -6707.7287  0.2611 
   00013    0.4544   -6739.7346  0.2659 
   00014    0.4700   -6834.7317  0.2709 
   00015    0.4604   -6845.1565  0.2689 
   00016    0.4528   -6900.8245  0.2833 
   00017    0.4436   -6955.6355  0.2889 
   00018    0.4376   -7001.4928  0.2814 
   00019    0.4568   -7038.6140  0.2798 
   00020    0.4388   -7175.2488  0.2673 
   00021    0.4312   -7214.2029  0.2792 
   00022    0.4380   -7240.7624  0.2799 
   00023    0.4228   -7260.0709  0.2857 
   00024    0.4384   -7287.4988  0.2884 
   00025    0.4300   -7294.7660  0.2927 
   00026    0.4172   -7398.6694  0.2943 
   00027    0.4508   -7353.8543  0.2824 
   00028    0.4352   -7445.0507  0.2703 
   00029    0.4200   -7437.5699  0.2681 
   00030    0.4208   -7500.1102  0.2598 
   00031    0.4268   -7462.6940  0.2636 
   00032    0.4260   -7485.4582  0.2664 
   00033    0.4172   -7483.2659  0.2679 
   00034    0.4224   -7478.0002  0.2658 
   00035    0.4136   -7495.5512  0.2722 
   00036    0.4320   -7568.0593  0.2798 
   00037    0.4200   -7518.2536  0.2886 
   00038    0.4324   -7538.5802  0.2918 
   00039    0.4332   -7537.0290  0.2925 
   00040    0.4140   -7624.3418  0.2964 
   00041    0.4156   -7644.6507  0.2963 
   00042    0.4040   -7673.7375  0.2922 
   00043    0.4092   -7617.2524  0.2938 
   00044    0.4268   -7569.8586  0.2970 
   00045    0.4300   -7602.1629  0.2972 
   00046    0.4128   -7678.5485  0.2931 
   00047    0.4068   -7735.4415  0.2981 
   00048    0.4208   -7744.6673  0.3042 
   00049    0.4220   -7696.3603  0.3055 
   00050    0.4180   -7679.3271  0.3124 
   00051    0.4012   -7693.2019  0.3119 
   00052    0.4144   -7674.0421  0.3094 
   00053    0.4132   -7731.9640  0.3100 
   00054    0.4020   -7773.1988  0.3005 
   00055    0.4084   -7730.5780  0.3004 
   00056    0.4188   -7800.8738  0.3043 
   00057    0.3932   -7759.8296  0.3131 
   00058    0.3948   -7727.1626  0.3153 
   00059    0.4020   -7744.5496  0.3113 
   00060    0.4276   -7710.1562  0.3022 
   00061    0.4036   -7711.4377  0.3030 
   00062    0.4000   -7670.5334  0.3037 
   00063    0.4264   -7694.5367  0.2996 
   00064    0.4232   -7732.2415  0.3023 
   00065    0.4176   -7631.9723  0.3020 
   00066    0.4040   -7669.2996  0.2936 
   00067    0.4132   -7706.8642  0.2951 
   00068    0.4200   -7692.2748  0.2997 
   00069    0.4228   -7681.3204  0.2953 
   00070    0.4116   -7668.7233  0.2975 
   00071    0.4152   -7701.0926  0.3003 
   00072    0.4164   -7666.7371  0.3009 
   00073    0.4212   -7671.5475  0.3021 
   00074    0.4172   -7663.9242  0.3044 
   00075    0.3940   -7690.2459  0.3072 
   00076    0.4240   -7727.5388  0.3105 
   00077    0.4020   -7737.1344  0.3111 
   00078    0.4116   -7840.9715  0.3096 
   00079    0.4012   -7802.0401  0.3133 
   00080    0.4036   -7767.5704  0.3146 
   00081    0.4120   -7733.9351  0.3084 
   00082    0.4116   -7767.5906  0.3122 
   00083    0.3908   -7694.6935  0.3166 
   00084    0.4136   -7682.8786  0.3164 
   00085    0.4144   -7700.5919  0.3138 
   00086    0.4036   -7751.4627  0.3221 
   00087    0.4124   -7754.5595  0.3290 
   00088    0.4244   -7720.7959  0.3264 
   00089    0.4088   -7719.6195  0.3296 
   00090    0.4224   -7718.4126  0.3199 
   00091    0.4056   -7696.7674  0.3151 
   00092    0.4140   -7689.3710  0.3157 
   00093    0.4008   -7748.8634  0.3138 
   00094    0.4020   -7744.1765  0.3165 
   00095    0.4140   -7726.7080  0.3261 
   00096    0.4180   -7786.8568  0.3250 
   00097    0.3956   -7825.5506  0.3264 
   00098    0.4144   -7826.2402  0.3303 
   00099    0.4020   -7828.9231  0.3237 
   00100    0.4272   -7712.4939  0.3279 
   00101    0.4176   -7710.0899  0.3277 
   00102    0.4156   -7774.2436  0.3345 
   00103    0.3956   -7709.0806  0.3339 
   00104    0.4212   -7778.6758  0.3303 
   00105    0.4164   -7743.2358  0.3182 
   00106    0.4144   -7703.8241  0.3158 
   00107    0.4232   -7634.1473  0.3136 
   00108    0.4096   -7693.0950  0.3101 
   00109    0.4144   -7742.1761  0.3176 
   00110    0.3984   -7715.3521  0.3273 
   00111    0.4292   -7647.8948  0.3291 
   00112    0.3860   -7667.1111  0.3333 
   00113    0.4208   -7724.3274  0.3360 
   00114    0.4180   -7818.4351  0.3384 
   00115    0.4300   -7751.9655  0.3381 
   00116    0.4116   -7776.6742  0.3356 
   00117    0.4012   -7760.5219  0.3294 
   00118    0.4084   -7685.8857  0.3187 
   00119    0.4228   -7708.0929  0.3199 
   00120    0.4076   -7735.5761  0.3226 
   00121    0.4272   -7780.3539  0.3210 
   00122    0.4192   -7809.8581  0.3207 
   00123    0.3868   -7842.5961  0.3112 
   00124    0.4116   -7794.8674  0.3135 
   00125    0.4064   -7775.8338  0.3127 
   00126    0.4128   -7786.6833  0.3102 
   00127    0.3908   -7794.2604  0.3096 
   00128    0.4024   -7757.5747  0.3039 
   00129    0.4080   -7789.2827  0.3018 
   00130    0.4044   -7817.0486  0.3045 
   00131    0.3992   -7826.9784  0.3111 
   00132    0.4156   -7840.3974  0.3137 
   00133    0.3988   -7834.4558  0.3095 
   00134    0.4140   -7794.5211  0.3090 
   00135    0.3996   -7793.1926  0.3130 
   00136    0.4004   -7815.6389  0.3085 
   00137    0.4024   -7831.0006  0.3117 
   00138    0.4140   -7803.4798  0.3140 
   00139    0.4208   -7783.2776  0.3235 
   00140    0.4148   -7763.4942  0.3160 
   00141    0.4212   -7717.2316  0.3138 
   00142    0.4224   -7700.3036  0.3174 
   00143    0.4232   -7688.0641  0.3117 
   00144    0.4164   -7751.7804  0.3145 
   00145    0.4228   -7754.8212  0.3187 
   00146    0.4020   -7742.1433  0.3216 
   00147    0.4080   -7758.1570  0.3181 
   00148    0.3980   -7700.4459  0.3191 
   00149    0.4092   -7724.8190  0.3203 
   00150    0.4144   -7730.3526  0.3216 
   00151    0.3884   -7773.4569  0.3282 
   00152    0.4108   -7769.1456  0.3291 
   00153    0.4208   -7756.8005  0.3360 
   00154    0.4092   -7763.3713  0.3332 
   00155    0.3992   -7792.1398  0.3331 
   00156    0.4188   -7780.6978  0.3323 
   00157    0.4116   -7763.8141  0.3288 
   00158    0.4300   -7764.1670  0.3420 
   00159    0.4268   -7791.6968  0.3409 
   00160    0.4176   -7729.5605  0.3439 
   00161    0.4232   -7729.6337  0.3546 
   00162    0.4156   -7771.6727  0.3548 
   00163    0.4104   -7782.9704  0.3552 
   00164    0.4016   -7767.8918  0.3582 
   00165    0.4080   -7763.6218  0.3550 
   00166    0.4072   -7770.8154  0.3522 
   00167    0.4108   -7810.8634  0.3516 
   00168    0.4012   -7790.9611  0.3469 
   00169    0.3940   -7808.3419  0.3534 
   00170    0.3944   -7831.1688  0.3506 
   00171    0.4028   -7821.5964  0.3535 
   00172    0.4156   -7800.5256  0.3518 
   00173    0.4000   -7795.2710  0.3522 
   00174    0.4116   -7807.1297  0.3588 
   00175    0.4220   -7778.4775  0.3548 
   00176    0.3972   -7851.4044  0.3586 
   00177    0.4080   -7915.2215  0.3582 
   00178    0.4060   -7922.7987  0.3598 
   00179    0.3992   -7950.9111  0.3544 
   00180    0.4036   -7951.9836  0.3542 
   00181    0.3848   -7898.1383  0.3564 
   00182    0.4072   -7976.8744  0.3638 
   00183    0.3932   -7911.9042  0.3657 
   00184    0.3944   -7894.8032  0.3635 
   00185    0.3968   -7933.3447  0.3560 
   00186    0.4032   -7947.3197  0.3503 
   00187    0.4064   -7953.4760  0.3521 
   00188    0.4076   -7920.6133  0.3448 
   00189    0.4232   -7938.1114  0.3454 
   00190    0.3912   -8001.5846  0.3409 
   00191    0.3916   -7966.7448  0.3434 
   00192    0.4148   -7905.3101  0.3477 
   00193    0.3976   -7836.0525  0.3449 
   00194    0.4144   -7830.3791  0.3391 
   00195    0.4088   -7806.0193  0.3411 
   00196    0.4152   -7777.2212  0.3419 
   00197    0.4076   -7822.3158  0.3448 
   00198    0.4204   -7796.8903  0.3451 
   00199    0.4072   -7806.2566  0.3454 
   00200    0.4172   -7787.0044  0.3487 
   00201    0.3804   -7861.4468  0.3434 
   00202    0.4068   -7871.6944  0.3427 
   00203    0.4012   -7855.1537  0.3513 
   00204    0.3956   -7885.3639  0.3592 
   00205    0.3932   -7817.2062  0.3556 
   00206    0.3820   -7859.4963  0.3605 
   00207    0.3976   -7776.4320  0.3583 
   00208    0.4128   -7772.2637  0.3611 
   00209    0.4048   -7743.1378  0.3607 
   00210    0.4108   -7753.2925  0.3607 
   00211    0.3936   -7836.2162  0.3642 
   00212    0.4168   -7832.0188  0.3654 
   00213    0.4268   -7851.0113  0.3600 
   00214    0.3992   -7877.5583  0.3562 
   00215    0.4072   -7878.2391  0.3514 
   00216    0.4024   -7847.2875  0.3516 
   00217    0.4000   -7835.6768  0.3516 
   00218    0.4084   -7826.4102  0.3500 
   00219    0.3920   -7835.7753  0.3506 
   00220    0.4036   -7886.8778  0.3478 
   00221    0.4024   -7952.0328  0.3525 
   00222    0.3768   -7960.7199  0.3504 
   00223    0.4176   -7976.3638  0.3479 
   00224    0.4180   -7984.1192  0.3549 
   00225    0.3732   -7965.5963  0.3564 
   00226    0.3920   -7996.1739  0.3529 
   00227    0.3996   -7993.0275  0.3587 
   00228    0.3940   -7951.9484  0.3665 
   00229    0.3848   -7971.1407  0.3647 
   00230    0.3836   -7984.8888  0.3664 
   00231    0.3992   -7983.7981  0.3612 
   00232    0.3856   -7973.3476  0.3612 
   00233    0.3968   -7891.5528  0.3591 
   00234    0.4016   -7861.9947  0.3551 
   00235    0.4148   -7856.4982  0.3522 
   00236    0.4064   -7918.8172  0.3486 
   00237    0.4132   -7944.4419  0.3508 
   00238    0.4056   -7905.6153  0.3513 
   00239    0.4000   -7918.7383  0.3508 
   00240    0.3948   -7921.1266  0.3547 
   00241    0.3948   -7952.5177  0.3545 
   00242    0.3808   -7923.5482  0.3526 
   00243    0.4124   -7881.9733  0.3541 
   00244    0.3976   -7910.6782  0.3522 
   00245    0.4160   -7899.8835  0.3615 
   00246    0.4164   -7863.7142  0.3637 
   00247    0.4072   -7836.0556  0.3638 
   00248    0.4032   -7859.2643  0.3639 
   00249    0.4048   -7852.3383  0.3637 
   00250    0.3972   -7832.6679  0.3658 
   00251    0.4172   -7856.5925  0.3639 
   00252    0.4140   -7837.9332  0.3586 
   00253    0.3992   -7813.5247  0.3577 
   00254    0.4028   -7831.0223  0.3623 
   00255    0.4144   -7826.7774  0.3632 
   00256    0.3992   -7795.7302  0.3710 
