#=====================================================
# File created:        Mon-11-Mar-2024-at-10-57-22PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.815085
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2490.0629  0.2568 
   00001    0.6600   -3706.3200  0.2675 
   00002    0.6264   -4485.2753  0.2657 
   00003    0.5912   -5077.4416  0.2589 
   00004    0.5456   -5454.2682  0.2646 
   00005    0.5360   -5791.9045  0.2646 
   00006    0.5316   -6067.3487  0.2639 
   00007    0.5308   -6305.7656  0.2641 
   00008    0.5100   -6527.9744  0.2657 
   00009    0.4724   -6733.8529  0.2710 
   00010    0.4784   -6885.6547  0.2637 
   00011    0.4580   -7029.7073  0.2711 
   00012    0.4740   -7147.2410  0.2626 
   00013    0.4604   -7243.7585  0.2676 
   00014    0.4604   -7297.0938  0.2667 
   00015    0.4636   -7338.6246  0.2659 
   00016    0.4400   -7392.2890  0.2737 
   00017    0.4692   -7487.3704  0.2734 
   00018    0.4564   -7561.7527  0.2709 
   00019    0.4652   -7568.0527  0.2705 
   00020    0.4432   -7620.8987  0.2744 
   00021    0.4544   -7680.0871  0.2830 
   00022    0.4460   -7698.6806  0.2938 
   00023    0.4428   -7815.8405  0.2937 
   00024    0.4400   -7819.7153  0.2991 
   00025    0.4376   -7838.4588  0.3014 
   00026    0.4344   -7890.2885  0.3014 
   00027    0.4200   -7944.0271  0.3088 
   00028    0.4292   -7941.7761  0.3061 
   00029    0.4552   -7940.3350  0.3098 
   00030    0.4200   -7917.2873  0.3142 
   00031    0.4216   -7937.2982  0.3121 
   00032    0.4216   -7999.0208  0.3155 
   00033    0.4232   -7978.7608  0.3204 
   00034    0.4416   -7990.2992  0.3157 
   00035    0.4384   -7976.8624  0.3109 
   00036    0.4268   -7958.8829  0.3062 
   00037    0.4448   -8000.7824  0.3022 
   00038    0.4376   -8011.0459  0.3052 
   00039    0.4284   -7974.9558  0.3062 
   00040    0.4408   -8000.2066  0.3067 
   00041    0.4368   -8039.9660  0.3093 
   00042    0.4192   -8034.4112  0.3094 
   00043    0.4184   -8052.1167  0.3047 
   00044    0.4308   -8086.9698  0.3004 
   00045    0.4248   -8060.7147  0.2934 
   00046    0.4208   -8111.2818  0.2982 
   00047    0.4116   -8109.0223  0.3069 
   00048    0.4200   -8080.0172  0.3131 
   00049    0.4336   -8102.4998  0.3147 
   00050    0.4356   -8156.7580  0.3220 
