#=====================================================
# File created:        Sat-09-Mar-2024-at-12-45-56PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.956316
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2509.6890  0.2595 
   00001    0.6836   -3726.5560  0.2605 
   00002    0.6260   -4592.3452  0.2709 
   00003    0.5748   -5212.4732  0.2784 
   00004    0.5436   -5568.4953  0.2849 
   00005    0.5420   -5916.6824  0.2850 
   00006    0.5016   -6213.4904  0.2913 
   00007    0.5040   -6409.0957  0.2876 
   00008    0.5020   -6592.5495  0.2936 
   00009    0.4808   -6772.1276  0.3065 
   00010    0.4600   -6907.0055  0.3054 
   00011    0.4704   -7027.1627  0.2996 
   00012    0.4888   -7166.9752  0.3040 
   00013    0.4652   -7273.9613  0.3060 
   00014    0.4420   -7332.3419  0.3088 
   00015    0.4808   -7408.9328  0.3142 
   00016    0.4328   -7497.8610  0.3125 
   00017    0.4424   -7516.8042  0.3119 
   00018    0.4384   -7546.3823  0.3082 
   00019    0.4524   -7572.2504  0.3079 
   00020    0.4504   -7624.0995  0.3059 
   00021    0.4556   -7654.3831  0.3126 
   00022    0.4472   -7709.7679  0.3181 
   00023    0.4508   -7730.2978  0.3154 
   00024    0.4384   -7717.2959  0.3196 
   00025    0.4424   -7740.2840  0.3124 
   00026    0.4392   -7811.8122  0.3188 
   00027    0.4372   -7824.0295  0.3233 
   00028    0.4120   -7877.3053  0.3263 
   00029    0.4360   -7909.6424  0.3264 
   00030    0.4236   -7929.3892  0.3193 
   00031    0.4384   -7884.3894  0.3257 
   00032    0.4300   -7878.6001  0.3285 
   00033    0.4240   -7907.4570  0.3346 
   00034    0.4428   -7967.1997  0.3296 
   00035    0.4216   -7953.3826  0.3302 
   00036    0.4260   -7988.8779  0.3358 
   00037    0.4288   -8002.1914  0.3355 
   00038    0.4296   -8024.8584  0.3453 
   00039    0.4284   -8058.9677  0.3476 
   00040    0.4172   -8065.8314  0.3506 
   00041    0.4204   -8116.3934  0.3466 
   00042    0.4176   -8123.9808  0.3489 
   00043    0.4108   -8127.3073  0.3490 
   00044    0.4444   -8153.0543  0.3504 
   00045    0.4076   -8155.7228  0.3483 
   00046    0.4128   -8213.1603  0.3468 
   00047    0.4344   -8174.5238  0.3485 
   00048    0.4116   -8211.0031  0.3484 
   00049    0.4280   -8183.3006  0.3534 
   00050    0.4136   -8187.2630  0.3539 
