#=====================================================
# File created:        Sun-10-Mar-2024-at-10-39-52AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.536312
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2409.4045  0.2636 
   00001    0.6664   -3617.3001  0.2780 
   00002    0.6308   -4408.7836  0.2609 
   00003    0.6032   -4932.0048  0.2582 
   00004    0.5732   -5339.7912  0.2641 
   00005    0.5548   -5757.6681  0.2627 
   00006    0.5380   -6068.8150  0.2644 
   00007    0.5128   -6386.5561  0.2647 
   00008    0.5028   -6548.5971  0.2704 
   00009    0.5056   -6718.0391  0.2749 
   00010    0.4880   -6894.4600  0.2767 
   00011    0.4624   -7069.9697  0.2754 
   00012    0.4620   -7133.8122  0.2782 
   00013    0.4552   -7189.2306  0.2813 
   00014    0.4332   -7228.6089  0.2765 
   00015    0.4512   -7400.6071  0.2766 
   00016    0.4636   -7483.6056  0.2728 
   00017    0.4508   -7549.2616  0.2668 
   00018    0.4316   -7570.6075  0.2752 
   00019    0.4376   -7607.2644  0.2785 
   00020    0.4472   -7635.3772  0.2785 
   00021    0.4300   -7646.2255  0.2704 
   00022    0.4456   -7761.8826  0.2754 
   00023    0.4356   -7776.8966  0.2779 
   00024    0.4432   -7781.0895  0.2747 
   00025    0.4268   -7799.5405  0.2761 
   00026    0.4444   -7869.1171  0.2713 
   00027    0.4464   -7838.1998  0.2738 
   00028    0.4348   -7835.1457  0.2821 
   00029    0.4324   -7878.4009  0.2840 
   00030    0.4428   -7924.4703  0.2779 
   00031    0.4168   -7900.2516  0.2764 
   00032    0.4332   -7943.3616  0.2752 
   00033    0.4292   -7953.2873  0.2749 
   00034    0.4304   -7987.8201  0.2744 
   00035    0.4232   -7981.0475  0.2710 
   00036    0.4412   -7946.1275  0.2689 
   00037    0.4484   -7957.1167  0.2653 
   00038    0.4320   -8041.5367  0.2659 
   00039    0.4452   -8037.0508  0.2657 
   00040    0.4420   -8086.1146  0.2662 
   00041    0.4456   -8051.2663  0.2611 
   00042    0.4352   -8066.1506  0.2616 
   00043    0.4312   -8040.0906  0.2655 
   00044    0.4440   -8074.9138  0.2690 
   00045    0.4216   -8125.5401  0.2611 
   00046    0.4252   -8108.0864  0.2529 
   00047    0.4260   -8092.7453  0.2537 
   00048    0.4316   -8112.5129  0.2527 
   00049    0.4400   -8109.9719  0.2518 
   00050    0.4292   -8140.1484  0.2544 
