#=====================================================
# File created:        Tue-12-Mar-2024-at-09-00-13PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.133127
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -266.6579  0.3569 
   00001    0.7100    -305.1527  0.3038 
   00002    0.6400    -334.0717  0.3339 
   00003    0.6400    -356.1469  0.3590 
   00004    0.5200    -370.2164  0.3526 
   00005    0.5800    -377.6992  0.3304 
   00006    0.4500    -386.7255  0.3265 
   00007    0.5600    -395.7022  0.3163 
   00008    0.4700    -411.0392  0.3414 
   00009    0.5500    -413.1426  0.3206 
   00010    0.4400    -419.8123  0.3167 
   00011    0.5300    -434.8085  0.3374 
   00012    0.5000    -427.4811  0.3660 
   00013    0.5600    -433.4269  0.3671 
   00014    0.4900    -431.4460  0.3923 
   00015    0.4100    -442.6165  0.3992 
   00016    0.5000    -434.2302  0.3962 
   00017    0.4400    -436.0105  0.4399 
   00018    0.4300    -433.4197  0.4638 
   00019    0.4200    -434.1191  0.4527 
   00020    0.5100    -434.7216  0.5185 
   00021    0.4700    -436.9086  0.5390 
   00022    0.4400    -443.0338  0.5151 
   00023    0.4300    -448.9771  0.5491 
   00024    0.4800    -446.7840  0.5339 
   00025    0.4100    -452.4088  0.5482 
   00026    0.4700    -456.4320  0.5776 
   00027    0.4600    -465.1530  0.6143 
   00028    0.5800    -462.8134  0.6296 
   00029    0.4800    -457.5284  0.5997 
   00030    0.4200    -463.4605  0.6103 
   00031    0.4900    -468.1607  0.5837 
   00032    0.4200    -460.2920  0.6108 
   00033    0.4600    -468.8166  0.6003 
   00034    0.4300    -460.3213  0.6308 
   00035    0.4100    -465.5851  0.6118 
   00036    0.4000    -469.2460  0.6177 
   00037    0.4000    -471.7214  0.6341 
   00038    0.4900    -466.4650  0.6213 
   00039    0.4800    -468.9294  0.6090 
   00040    0.5000    -464.0049  0.6149 
   00041    0.5200    -460.9862  0.6027 
   00042    0.4800    -464.6994  0.6133 
   00043    0.5300    -461.2537  0.6115 
   00044    0.5100    -454.0479  0.6119 
   00045    0.3900    -456.9191  0.6074 
   00046    0.3700    -458.5394  0.6180 
   00047    0.4200    -456.5313  0.6221 
   00048    0.4700    -454.3992  0.5965 
   00049    0.4500    -461.9497  0.6017 
   00050    0.4900    -469.7802  0.6091 
