#=====================================================
# File created:        Tue-12-Mar-2024-at-12-38-52PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.109328
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2609.2524  0.2657 
   00001    0.6776   -3864.0152  0.2683 
   00002    0.6208   -4545.9663  0.2788 
   00003    0.5668   -5133.8113  0.2974 
   00004    0.5452   -5537.6732  0.3053 
   00005    0.5276   -5885.2119  0.3083 
   00006    0.5132   -6253.8806  0.3145 
   00007    0.4956   -6424.4031  0.3169 
   00008    0.4940   -6606.0544  0.3131 
   00009    0.4860   -6769.5389  0.3139 
   00010    0.4900   -6898.3138  0.3116 
   00011    0.4792   -7067.8456  0.3204 
   00012    0.4548   -7148.3500  0.3271 
   00013    0.4708   -7255.2099  0.3225 
   00014    0.4696   -7321.7968  0.3258 
   00015    0.4576   -7378.8055  0.3252 
   00016    0.4360   -7448.4709  0.3236 
   00017    0.4464   -7471.5354  0.3251 
   00018    0.4636   -7539.0173  0.3289 
   00019    0.4596   -7569.7488  0.3328 
   00020    0.4588   -7616.8305  0.3333 
   00021    0.4416   -7669.0370  0.3355 
   00022    0.4456   -7723.1757  0.3422 
   00023    0.4312   -7780.1478  0.3439 
   00024    0.4356   -7816.4059  0.3517 
   00025    0.4456   -7876.3386  0.3494 
   00026    0.4324   -7879.3731  0.3609 
   00027    0.4532   -7876.7889  0.3587 
   00028    0.4480   -7940.8326  0.3590 
   00029    0.4316   -7999.2931  0.3607 
   00030    0.4308   -7968.5247  0.3671 
   00031    0.4280   -8020.2572  0.3674 
   00032    0.4392   -8038.7122  0.3679 
   00033    0.4324   -8054.2140  0.3669 
   00034    0.4240   -8119.5421  0.3723 
   00035    0.4264   -8089.7332  0.3726 
   00036    0.4368   -8131.5598  0.3738 
   00037    0.4148   -8163.5092  0.3749 
   00038    0.4228   -8177.4445  0.3747 
   00039    0.4096   -8194.4067  0.3797 
   00040    0.4140   -8197.9062  0.3835 
   00041    0.4208   -8203.5946  0.3835 
   00042    0.4240   -8210.3677  0.3790 
   00043    0.4424   -8199.6312  0.3847 
   00044    0.4172   -8185.7452  0.3824 
   00045    0.4372   -8186.7662  0.3776 
   00046    0.4228   -8240.6242  0.3817 
   00047    0.4320   -8210.6425  0.3773 
   00048    0.4384   -8218.9524  0.3788 
   00049    0.4252   -8199.3079  0.3789 
   00050    0.4176   -8208.7115  0.3771 
