#=====================================================
# File created:        Tue-12-Mar-2024-at-12-38-35PM
# Size of lattice:     30x30
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.418982
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -953.6821  0.2699 
   00001    0.6889   -1370.5768  0.2880 
   00002    0.6089   -1630.6263  0.2917 
   00003    0.5689   -1834.0651  0.2910 
   00004    0.5644   -1997.6745  0.3018 
   00005    0.5533   -2146.8648  0.2998 
   00006    0.4978   -2234.2394  0.3038 
   00007    0.5267   -2302.8483  0.3268 
   00008    0.4978   -2318.3964  0.3417 
   00009    0.5000   -2369.3049  0.3334 
   00010    0.4756   -2402.4328  0.3460 
   00011    0.4800   -2448.6558  0.3341 
   00012    0.4711   -2504.7751  0.3497 
   00013    0.5056   -2541.2179  0.3577 
   00014    0.4644   -2544.7704  0.3771 
   00015    0.4722   -2574.8640  0.3912 
   00016    0.4633   -2607.1665  0.4063 
   00017    0.4644   -2654.9045  0.4016 
   00018    0.4622   -2701.2301  0.3952 
   00019    0.4544   -2731.6895  0.3991 
   00020    0.4567   -2743.1547  0.4195 
   00021    0.4556   -2766.1155  0.4300 
   00022    0.4244   -2799.4778  0.4307 
   00023    0.4178   -2803.7913  0.4336 
   00024    0.4433   -2813.9189  0.4439 
   00025    0.4189   -2826.6884  0.4576 
   00026    0.4578   -2801.8632  0.4696 
   00027    0.4456   -2821.9700  0.4694 
   00028    0.4233   -2838.9980  0.4777 
   00029    0.4233   -2870.0695  0.4694 
   00030    0.4378   -2853.1102  0.4774 
   00031    0.4022   -2869.8789  0.4797 
   00032    0.4133   -2889.9416  0.4855 
   00033    0.3856   -2891.5556  0.4843 
   00034    0.4122   -2881.5701  0.4978 
   00035    0.4422   -2891.0575  0.5044 
   00036    0.4411   -2883.0315  0.5124 
   00037    0.4100   -2895.8487  0.5198 
   00038    0.4356   -2904.6732  0.5365 
   00039    0.4411   -2935.9078  0.5372 
   00040    0.4256   -2924.8256  0.5489 
   00041    0.4567   -2898.8050  0.5485 
   00042    0.4256   -2920.0148  0.5594 
   00043    0.4400   -2929.6328  0.5696 
   00044    0.4500   -2931.5990  0.5696 
   00045    0.4300   -2960.7359  0.5734 
   00046    0.4344   -2978.1389  0.5944 
   00047    0.4133   -2988.8967  0.5967 
   00048    0.4444   -2999.1318  0.5939 
   00049    0.4089   -3014.2145  0.5985 
   00050    0.4056   -3011.3493  0.5933 
