#=====================================================
# File created:        Tue-12-Mar-2024-at-12-38-15PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.176958
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -111.1312  0.2883 
   00001    0.7100    -164.2655  0.2776 
   00002    0.6800    -186.3434  0.3517 
   00003    0.5600    -188.0164  0.3669 
   00004    0.6000    -210.7459  0.3553 
   00005    0.5400    -222.4318  0.3846 
   00006    0.5400    -223.5745  0.3862 
   00007    0.6400    -230.7389  0.3766 
   00008    0.4700    -245.5356  0.3769 
   00009    0.5100    -249.5388  0.4038 
   00010    0.5200    -247.9911  0.3802 
   00011    0.5000    -252.9109  0.4024 
   00012    0.4800    -255.5975  0.4252 
   00013    0.4100    -274.1223  0.4722 
   00014    0.3800    -284.2656  0.5224 
   00015    0.3400    -291.4773  0.5474 
   00016    0.4500    -288.2558  0.5435 
   00017    0.4500    -285.4504  0.5442 
   00018    0.4400    -289.0758  0.5475 
   00019    0.5000    -293.8290  0.5556 
   00020    0.4200    -299.8716  0.5857 
   00021    0.5400    -313.0823  0.6263 
   00022    0.4900    -313.4304  0.6229 
   00023    0.3700    -311.6307  0.6357 
   00024    0.3700    -310.2762  0.6402 
   00025    0.4600    -313.7050  0.6547 
   00026    0.4300    -310.4485  0.6747 
   00027    0.4200    -310.2174  0.6958 
   00028    0.4300    -323.1622  0.7201 
   00029    0.4500    -323.9702  0.7551 
   00030    0.4800    -331.7325  0.7866 
   00031    0.4300    -328.7724  0.8028 
   00032    0.5000    -327.9914  0.7953 
   00033    0.4800    -319.6316  0.7855 
   00034    0.4600    -323.7949  0.7892 
   00035    0.4400    -322.2460  0.7904 
   00036    0.3400    -319.4072  0.7768 
   00037    0.3300    -325.0285  0.8077 
   00038    0.3700    -326.2693  0.8121 
   00039    0.4400    -327.9306  0.8024 
   00040    0.4700    -329.9102  0.7932 
   00041    0.3700    -320.6852  0.7957 
   00042    0.4200    -321.0920  0.8051 
   00043    0.3600    -336.6080  0.8422 
   00044    0.3800    -333.2739  0.8474 
   00045    0.4800    -329.4231  0.8491 
   00046    0.3800    -337.7286  0.8617 
   00047    0.4300    -349.7490  0.8788 
   00048    0.3400    -357.5484  0.8929 
   00049    0.4200    -351.0327  0.8706 
   00050    0.4000    -353.7536  0.8698 
