#=====================================================
# File created:        Tue-12-Mar-2024-at-09-01-24PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.479798
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6161.3832  0.2596 
   00001    0.6756   -7424.5317  0.2687 
   00002    0.6324   -8242.6781  0.2648 
   00003    0.5772   -8865.5971  0.2622 
   00004    0.5768   -9280.2504  0.2599 
   00005    0.5416   -9631.2407  0.2528 
   00006    0.5080   -9870.5080  0.2589 
   00007    0.5112  -10084.1684  0.2629 
   00008    0.4888  -10255.0796  0.2656 
   00009    0.5076  -10368.1960  0.2629 
   00010    0.5044  -10514.5694  0.2717 
   00011    0.4720  -10679.9505  0.2731 
   00012    0.4828  -10786.3009  0.2756 
   00013    0.4664  -10852.8737  0.2773 
   00014    0.4716  -10935.8667  0.2792 
   00015    0.4672  -11007.2658  0.2751 
   00016    0.4428  -11131.7244  0.2699 
   00017    0.4552  -11220.0003  0.2770 
   00018    0.4516  -11258.1633  0.2825 
   00019    0.4524  -11307.5511  0.2876 
   00020    0.4584  -11339.0984  0.2867 
   00021    0.4404  -11394.9539  0.2806 
   00022    0.4568  -11374.0538  0.2837 
   00023    0.4552  -11426.2210  0.2857 
   00024    0.4440  -11389.4571  0.2891 
   00025    0.4500  -11442.1509  0.2804 
   00026    0.4392  -11470.7783  0.2892 
   00027    0.4508  -11503.6691  0.2935 
   00028    0.4568  -11573.1400  0.2933 
   00029    0.4444  -11575.1439  0.2848 
   00030    0.4408  -11600.0038  0.2832 
   00031    0.4400  -11587.8878  0.2787 
   00032    0.4320  -11567.0806  0.2834 
   00033    0.4304  -11597.1074  0.2819 
   00034    0.4208  -11606.8356  0.2841 
   00035    0.4540  -11625.1643  0.2783 
   00036    0.4296  -11660.9356  0.2908 
   00037    0.4368  -11688.9381  0.2930 
   00038    0.4304  -11656.9558  0.2981 
   00039    0.4320  -11656.4659  0.2971 
   00040    0.4104  -11699.2882  0.3011 
   00041    0.4348  -11673.9816  0.2972 
   00042    0.4476  -11672.1341  0.2979 
   00043    0.4256  -11709.2967  0.3034 
   00044    0.4388  -11746.1837  0.3020 
   00045    0.4240  -11756.3479  0.3079 
   00046    0.4372  -11741.7892  0.3074 
   00047    0.4272  -11714.3982  0.3013 
   00048    0.4388  -11744.6357  0.3030 
   00049    0.4100  -11787.1670  0.3085 
   00050    0.4136  -11813.4768  0.3029 
