#=====================================================
# File created:        Tue-12-Mar-2024-at-09-06-10PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.313996
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -258.3461  0.3728 
   00001    0.6400    -318.8292  0.4422 
   00002    0.5400    -330.3283  0.4896 
   00003    0.6400    -356.0212  0.5214 
   00004    0.5500    -384.4031  0.5793 
   00005    0.4600    -386.7936  0.6030 
   00006    0.5400    -412.8343  0.6731 
   00007    0.5400    -407.0757  0.6740 
   00008    0.4900    -416.5287  0.7148 
   00009    0.5700    -427.6878  0.7268 
   00010    0.4400    -452.4677  0.7726 
   00011    0.4800    -453.3460  0.7656 
   00012    0.5300    -459.9209  0.7725 
   00013    0.4800    -457.8252  0.7684 
   00014    0.4600    -478.7291  0.7983 
   00015    0.4300    -483.4167  0.8000 
   00016    0.3700    -484.9362  0.8223 
   00017    0.4000    -473.0820  0.8306 
   00018    0.3500    -475.5167  0.8226 
   00019    0.3900    -483.9540  0.8383 
   00020    0.4500    -484.8722  0.8281 
   00021    0.4600    -484.9081  0.8421 
   00022    0.3800    -486.9391  0.8506 
   00023    0.4600    -479.8811  0.8530 
   00024    0.4100    -475.9572  0.8468 
   00025    0.3600    -481.5031  0.8414 
   00026    0.4800    -483.2332  0.8446 
   00027    0.4400    -479.7389  0.8626 
   00028    0.4900    -488.3315  0.8632 
   00029    0.4500    -486.5474  0.8526 
   00030    0.5800    -490.0654  0.8492 
   00031    0.3900    -486.2652  0.8480 
   00032    0.4100    -484.8198  0.8352 
   00033    0.4100    -484.4476  0.8543 
   00034    0.4800    -497.7189  0.8751 
   00035    0.4200    -497.9884  0.8832 
   00036    0.5300    -492.6152  0.8730 
   00037    0.3800    -490.8128  0.8716 
   00038    0.3700    -491.9966  0.8752 
   00039    0.3100    -491.6117  0.8760 
   00040    0.3700    -488.5787  0.8593 
   00041    0.4300    -482.7719  0.8401 
   00042    0.3900    -481.7551  0.8380 
   00043    0.4700    -492.8275  0.8411 
   00044    0.4000    -489.2311  0.8647 
   00045    0.4800    -499.6585  0.8845 
   00046    0.4200    -498.6585  0.8799 
   00047    0.4300    -491.6744  0.8895 
   00048    0.4200    -482.6347  0.8755 
   00049    0.4900    -476.9307  0.8564 
   00050    0.4200    -484.6084  0.8740 
