#=====================================================
# File created:        Tue-12-Mar-2024-at-12-39-07PM
# Size of lattice:     60x60
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.709669
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3371.9173  0.2563 
   00001    0.6767   -5252.7168  0.2633 
   00002    0.6344   -6385.6509  0.2615 
   00003    0.5778   -7351.3613  0.2602 
   00004    0.5611   -7959.4194  0.2630 
   00005    0.5378   -8498.7514  0.2601 
   00006    0.5289   -8886.5656  0.2629 
   00007    0.5125   -9295.2226  0.2656 
   00008    0.5036   -9596.6006  0.2706 
   00009    0.4789   -9757.3339  0.2713 
   00010    0.4903   -9885.5603  0.2722 
   00011    0.4550  -10076.3524  0.2749 
   00012    0.4706  -10254.5304  0.2699 
   00013    0.4675  -10365.6351  0.2701 
   00014    0.4614  -10506.5045  0.2715 
   00015    0.4619  -10538.6446  0.2745 
   00016    0.4681  -10602.5073  0.2761 
   00017    0.4708  -10653.6039  0.2797 
   00018    0.4481  -10746.6969  0.2792 
   00019    0.4517  -10819.5973  0.2757 
   00020    0.4581  -10846.2238  0.2760 
   00021    0.4553  -10845.6866  0.2729 
   00022    0.4578  -10889.3106  0.2756 
   00023    0.4456  -10951.2663  0.2765 
   00024    0.4453  -11023.5060  0.2801 
   00025    0.4519  -11028.0582  0.2850 
   00026    0.4483  -11087.2315  0.2837 
   00027    0.4492  -11143.8052  0.2848 
   00028    0.4347  -11150.2833  0.2892 
   00029    0.4456  -11152.8954  0.2956 
   00030    0.4292  -11231.2764  0.2979 
   00031    0.4336  -11264.0139  0.2947 
   00032    0.4414  -11253.4944  0.2968 
   00033    0.4486  -11296.0694  0.2938 
   00034    0.4436  -11357.9344  0.2941 
   00035    0.4389  -11358.0865  0.2989 
   00036    0.4497  -11449.5321  0.2999 
   00037    0.4261  -11434.2314  0.3031 
   00038    0.4328  -11376.6482  0.3005 
   00039    0.4392  -11377.1477  0.2978 
   00040    0.4175  -11485.1719  0.2983 
   00041    0.4181  -11485.6330  0.2989 
   00042    0.4325  -11483.3447  0.3012 
   00043    0.4339  -11500.7896  0.2995 
   00044    0.4069  -11512.0847  0.3056 
   00045    0.4214  -11537.6637  0.3091 
   00046    0.4239  -11497.4416  0.3169 
   00047    0.4297  -11475.4854  0.3199 
   00048    0.4219  -11544.8441  0.3276 
   00049    0.4264  -11567.1922  0.3274 
   00050    0.4286  -11608.7809  0.3288 
