#=====================================================
# File created:        Sun-10-Mar-2024-at-05-48-41PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.973309
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6205.6137  0.2557 
   00001    0.6868   -7465.2599  0.2664 
   00002    0.6252   -8288.5202  0.2676 
   00003    0.5924   -8815.8020  0.2655 
   00004    0.5460   -9249.6287  0.2683 
   00005    0.5420   -9618.9226  0.2705 
   00006    0.5032   -9885.7859  0.2783 
   00007    0.5088  -10120.7069  0.2740 
   00008    0.5004  -10369.4667  0.2776 
   00009    0.4796  -10500.2657  0.2758 
   00010    0.4888  -10657.0830  0.2783 
   00011    0.4852  -10802.8545  0.2800 
   00012    0.4520  -10981.2287  0.2877 
   00013    0.4756  -11062.4613  0.2972 
   00014    0.4552  -11102.8356  0.2980 
   00015    0.4476  -11200.8651  0.2988 
   00016    0.4472  -11220.6761  0.2953 
   00017    0.4760  -11267.5232  0.3012 
   00018    0.4396  -11280.7187  0.3040 
   00019    0.4296  -11369.5146  0.3057 
   00020    0.4496  -11400.3070  0.3092 
   00021    0.4472  -11461.8037  0.3196 
   00022    0.4636  -11510.4326  0.3175 
   00023    0.4376  -11576.7652  0.3220 
   00024    0.4384  -11631.5808  0.3258 
   00025    0.4240  -11623.0796  0.3321 
   00026    0.4432  -11664.0707  0.3348 
   00027    0.4252  -11699.0792  0.3299 
   00028    0.4376  -11687.1947  0.3252 
   00029    0.4420  -11667.3844  0.3316 
   00030    0.4424  -11694.6648  0.3430 
   00031    0.4280  -11668.0752  0.3483 
   00032    0.4296  -11717.4174  0.3406 
   00033    0.4352  -11713.8413  0.3433 
   00034    0.4372  -11704.9274  0.3391 
   00035    0.4292  -11724.6326  0.3358 
   00036    0.4280  -11784.8069  0.3456 
   00037    0.4204  -11820.1037  0.3405 
   00038    0.4276  -11822.4472  0.3433 
   00039    0.4340  -11827.2827  0.3485 
   00040    0.4216  -11838.6978  0.3516 
   00041    0.4312  -11853.0665  0.3496 
   00042    0.4424  -11842.1285  0.3532 
   00043    0.4308  -11772.1652  0.3495 
   00044    0.4276  -11773.1834  0.3513 
   00045    0.4364  -11773.4985  0.3541 
   00046    0.4416  -11774.5299  0.3513 
   00047    0.4288  -11777.4373  0.3470 
   00048    0.4416  -11779.0430  0.3438 
   00049    0.4252  -11788.7934  0.3416 
   00050    0.4432  -11793.4609  0.3513 
