#=====================================================
# File created:        Sun-10-Mar-2024-at-05-57-56PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.981019
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6293.8000  0.2793 
   00001    0.6800   -7470.4108  0.2910 
   00002    0.6392   -8289.7950  0.2858 
   00003    0.5780   -8788.1783  0.2862 
   00004    0.5492   -9239.2270  0.2865 
   00005    0.5396   -9549.6741  0.2916 
   00006    0.5244   -9846.6750  0.3033 
   00007    0.5164  -10083.0595  0.3016 
   00008    0.4840  -10280.2392  0.3106 
   00009    0.4848  -10453.3167  0.3106 
   00010    0.4760  -10588.7906  0.3153 
   00011    0.4780  -10686.5358  0.3033 
   00012    0.4588  -10741.5910  0.3004 
   00013    0.4664  -10856.8455  0.3080 
   00014    0.4436  -10928.4389  0.3135 
   00015    0.4600  -10976.3223  0.3243 
   00016    0.4612  -11077.9820  0.3255 
   00017    0.4496  -11112.5338  0.3226 
   00018    0.4600  -11151.7604  0.3309 
   00019    0.4476  -11195.9544  0.3377 
   00020    0.4712  -11191.6929  0.3309 
   00021    0.4748  -11242.0369  0.3344 
   00022    0.4656  -11360.4933  0.3393 
   00023    0.4552  -11403.2759  0.3437 
   00024    0.4444  -11396.6442  0.3502 
   00025    0.4528  -11438.3542  0.3440 
   00026    0.4472  -11465.5369  0.3472 
   00027    0.4520  -11508.0771  0.3443 
   00028    0.4456  -11492.9527  0.3414 
   00029    0.4512  -11557.7380  0.3439 
   00030    0.4280  -11576.0350  0.3498 
   00031    0.4512  -11614.7719  0.3584 
   00032    0.4328  -11623.8103  0.3563 
   00033    0.4392  -11606.0292  0.3550 
   00034    0.4364  -11681.9228  0.3626 
   00035    0.4580  -11648.4012  0.3597 
   00036    0.4256  -11630.8399  0.3618 
   00037    0.4244  -11653.5499  0.3681 
   00038    0.4352  -11659.4099  0.3635 
   00039    0.4348  -11713.0931  0.3659 
   00040    0.4264  -11698.1124  0.3674 
   00041    0.4316  -11696.5654  0.3715 
   00042    0.4384  -11708.3843  0.3752 
   00043    0.4260  -11746.2996  0.3689 
   00044    0.4420  -11748.7417  0.3647 
   00045    0.4424  -11735.6736  0.3583 
   00046    0.4384  -11698.6132  0.3570 
   00047    0.4236  -11729.8205  0.3596 
   00048    0.4400  -11773.9661  0.3585 
   00049    0.4432  -11819.8417  0.3589 
   00050    0.4440  -11833.4009  0.3610 
