#=====================================================
# File created:        Tue-12-Mar-2024-at-09-01-10PM
# Size of lattice:     30x30
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.191341
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2261.0725  0.2658 
   00001    0.6978   -2742.3487  0.2744 
   00002    0.6189   -2998.9097  0.2662 
   00003    0.5722   -3148.7520  0.2679 
   00004    0.5744   -3256.1783  0.2696 
   00005    0.5389   -3397.1291  0.2821 
   00006    0.4889   -3530.6820  0.2859 
   00007    0.5367   -3599.9853  0.2738 
   00008    0.4467   -3726.2960  0.2824 
   00009    0.5033   -3825.4118  0.2879 
   00010    0.5000   -3897.3800  0.2858 
   00011    0.4900   -3931.1598  0.2928 
   00012    0.4567   -3927.7812  0.2958 
   00013    0.4522   -3948.5079  0.3028 
   00014    0.4467   -3973.5331  0.2995 
   00015    0.4311   -4022.0478  0.3054 
   00016    0.4678   -4073.3157  0.3133 
   00017    0.4278   -4088.5196  0.3129 
   00018    0.4222   -4100.6665  0.3188 
   00019    0.4389   -4123.7701  0.3314 
   00020    0.4244   -4102.0273  0.3289 
   00021    0.4456   -4115.6227  0.3295 
   00022    0.4156   -4121.2774  0.3254 
   00023    0.4411   -4171.2180  0.3314 
   00024    0.4400   -4184.5429  0.3300 
   00025    0.4389   -4182.0717  0.3272 
   00026    0.4300   -4191.2223  0.3236 
   00027    0.4111   -4204.2800  0.3311 
   00028    0.4167   -4204.4296  0.3341 
   00029    0.4489   -4203.7734  0.3386 
   00030    0.4244   -4237.3927  0.3432 
   00031    0.4289   -4220.8905  0.3596 
   00032    0.4089   -4264.4388  0.3615 
   00033    0.4200   -4245.4954  0.3537 
   00034    0.4344   -4282.7604  0.3581 
   00035    0.4256   -4282.1041  0.3529 
   00036    0.4022   -4295.0906  0.3603 
   00037    0.4356   -4303.3278  0.3644 
   00038    0.4156   -4330.8153  0.3691 
   00039    0.4233   -4330.6905  0.3728 
   00040    0.4044   -4332.0353  0.3786 
   00041    0.4478   -4335.7490  0.3905 
   00042    0.4311   -4349.9007  0.4043 
   00043    0.3900   -4310.5377  0.3918 
   00044    0.4211   -4327.0689  0.3856 
   00045    0.4111   -4314.5322  0.3880 
   00046    0.4033   -4316.9415  0.3872 
   00047    0.3956   -4345.2880  0.3898 
   00048    0.4178   -4334.4679  0.3894 
   00049    0.4378   -4360.1077  0.3882 
   00050    0.4244   -4334.4704  0.3871 
