#=====================================================
# File created:        Tue-12-Mar-2024-at-09-06-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        8.968767
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6321.5446  0.2691 
   00001    0.6720   -7556.1552  0.2731 
   00002    0.6272   -8298.1325  0.2643 
   00003    0.5776   -8884.9975  0.2688 
   00004    0.5436   -9325.6137  0.2771 
   00005    0.5340   -9662.0136  0.2695 
   00006    0.5256   -9958.9782  0.2728 
   00007    0.4996  -10222.0583  0.2883 
   00008    0.4992  -10451.1075  0.2915 
   00009    0.4828  -10530.6711  0.2933 
   00010    0.4660  -10703.0846  0.2960 
   00011    0.4820  -10839.1766  0.2962 
   00012    0.4764  -10941.1802  0.2982 
   00013    0.4620  -11017.2299  0.3012 
   00014    0.4584  -11129.5140  0.3041 
   00015    0.4408  -11217.9082  0.3131 
   00016    0.4636  -11288.0054  0.3212 
   00017    0.4448  -11315.4521  0.3271 
   00018    0.4560  -11305.6511  0.3167 
   00019    0.4636  -11337.0856  0.3123 
   00020    0.4528  -11370.3799  0.3162 
   00021    0.4528  -11441.1117  0.3169 
   00022    0.4424  -11490.5563  0.3137 
   00023    0.4556  -11512.4848  0.3203 
   00024    0.4544  -11551.1333  0.3139 
   00025    0.4380  -11552.9341  0.3107 
   00026    0.4404  -11594.5943  0.3070 
   00027    0.4520  -11599.8716  0.3056 
   00028    0.4444  -11620.0663  0.3090 
   00029    0.4372  -11607.0395  0.3129 
   00030    0.4420  -11665.3633  0.3178 
   00031    0.4228  -11651.4211  0.3196 
   00032    0.4344  -11702.4195  0.3199 
   00033    0.4436  -11640.6836  0.3249 
   00034    0.4380  -11639.5382  0.3237 
   00035    0.4416  -11689.9793  0.3243 
   00036    0.4348  -11757.2750  0.3264 
   00037    0.4316  -11731.6244  0.3236 
   00038    0.4252  -11729.0704  0.3244 
   00039    0.4364  -11797.3836  0.3317 
   00040    0.4212  -11802.4063  0.3345 
   00041    0.4296  -11797.1151  0.3366 
   00042    0.4240  -11838.9574  0.3418 
   00043    0.4224  -11845.4956  0.3445 
   00044    0.4304  -11815.5338  0.3443 
   00045    0.4360  -11806.3620  0.3370 
   00046    0.4204  -11805.3252  0.3330 
   00047    0.4320  -11816.3648  0.3287 
   00048    0.4316  -11807.4165  0.3268 
   00049    0.4284  -11881.7212  0.3324 
   00050    0.4252  -11882.6311  0.3361 
