#=====================================================
# File created:        Tue-12-Mar-2024-at-12-39-27PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        14.279910
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9951.2387  0.2580 
   00001    0.6796  -14720.7066  0.2610 
   00002    0.6190  -17814.5975  0.2607 
   00003    0.5812  -20124.5808  0.2619 
   00004    0.5633  -22023.8234  0.2596 
   00005    0.5342  -23496.2636  0.2606 
   00006    0.5115  -24559.7480  0.2674 
   00007    0.4960  -25336.4820  0.2684 
   00008    0.5081  -26275.0861  0.2723 
   00009    0.4883  -26890.5531  0.2783 
   00010    0.4792  -27638.7592  0.2783 
   00011    0.4731  -28085.6484  0.2784 
   00012    0.4679  -28450.2200  0.2748 
   00013    0.4691  -28791.5906  0.2753 
   00014    0.4716  -29121.4880  0.2746 
   00015    0.4571  -29475.8079  0.2750 
   00016    0.4582  -29742.8966  0.2699 
   00017    0.4533  -30005.4989  0.2661 
   00018    0.4526  -30222.4326  0.2701 
   00019    0.4507  -30370.0652  0.2712 
   00020    0.4395  -30463.5059  0.2702 
   00021    0.4473  -30545.5236  0.2751 
   00022    0.4424  -30713.8700  0.2769 
   00023    0.4488  -30837.0861  0.2751 
   00024    0.4451  -30945.8236  0.2755 
   00025    0.4356  -31094.0010  0.2785 
   00026    0.4387  -31209.4624  0.2781 
   00027    0.4486  -31261.6442  0.2752 
   00028    0.4446  -31427.2488  0.2702 
   00029    0.4393  -31515.6411  0.2750 
   00030    0.4352  -31591.0867  0.2752 
   00031    0.4261  -31660.8799  0.2761 
   00032    0.4224  -31638.6183  0.2766 
   00033    0.4365  -31713.1345  0.2755 
   00034    0.4248  -31783.3951  0.2760 
   00035    0.4315  -31902.9244  0.2773 
   00036    0.4350  -31971.0858  0.2800 
   00037    0.4331  -31920.6307  0.2794 
   00038    0.4241  -31907.6314  0.2777 
   00039    0.4286  -31999.3294  0.2777 
   00040    0.4395  -32050.4312  0.2778 
   00041    0.4406  -32122.5550  0.2788 
   00042    0.4358  -32162.2176  0.2764 
   00043    0.4232  -32195.8755  0.2748 
   00044    0.4232  -32241.6712  0.2759 
   00045    0.4263  -32236.0911  0.2769 
   00046    0.4272  -32300.2052  0.2715 
   00047    0.4204  -32336.3844  0.2697 
   00048    0.4253  -32348.0590  0.2707 
   00049    0.4280  -32397.2777  0.2732 
   00050    0.4312  -32399.6883  0.2711 
