#=====================================================
# File created:        Tue-12-Mar-2024-at-09-01-38PM
# Size of lattice:     60x60
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.251970
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9040.4663  0.2569 
   00001    0.6639  -10805.7281  0.2563 
   00002    0.6147  -11965.0725  0.2549 
   00003    0.5914  -12792.8231  0.2623 
   00004    0.5500  -13470.5725  0.2639 
   00005    0.5456  -13958.2434  0.2635 
   00006    0.5228  -14308.6344  0.2639 
   00007    0.4967  -14582.8269  0.2683 
   00008    0.4975  -14812.8211  0.2680 
   00009    0.4794  -15002.8782  0.2731 
   00010    0.4922  -15205.3406  0.2753 
   00011    0.4678  -15350.6375  0.2784 
   00012    0.4889  -15492.4858  0.2752 
   00013    0.4636  -15641.2105  0.2781 
   00014    0.4639  -15744.3622  0.2786 
   00015    0.4614  -15912.1963  0.2827 
   00016    0.4542  -16063.0841  0.2839 
   00017    0.4314  -16209.5371  0.2775 
   00018    0.4472  -16259.4529  0.2815 
   00019    0.4522  -16328.7989  0.2832 
   00020    0.4436  -16358.7247  0.2801 
   00021    0.4453  -16369.7622  0.2783 
   00022    0.4419  -16419.4483  0.2793 
   00023    0.4469  -16447.0401  0.2822 
   00024    0.4331  -16525.8114  0.2779 
   00025    0.4400  -16562.7924  0.2802 
   00026    0.4547  -16598.6090  0.2815 
   00027    0.4406  -16580.3587  0.2853 
   00028    0.4375  -16636.5226  0.2876 
   00029    0.4617  -16650.0438  0.2895 
   00030    0.4378  -16684.4081  0.2942 
   00031    0.4347  -16692.1580  0.3013 
   00032    0.4322  -16723.0079  0.3015 
   00033    0.4375  -16749.6200  0.2965 
   00034    0.4417  -16783.0271  0.2943 
   00035    0.4428  -16820.7675  0.2944 
   00036    0.4278  -16832.3939  0.2977 
   00037    0.4381  -16827.6523  0.2984 
   00038    0.4147  -16886.8386  0.2966 
   00039    0.4222  -16920.9191  0.2941 
   00040    0.4147  -16915.7991  0.2957 
   00041    0.4244  -16910.3175  0.2920 
   00042    0.4433  -17006.1687  0.2948 
   00043    0.4267  -17004.5980  0.2958 
   00044    0.4286  -16988.1189  0.2930 
   00045    0.4339  -17048.5856  0.2947 
   00046    0.4397  -17021.4620  0.2947 
   00047    0.4297  -17050.2106  0.2960 
   00048    0.4336  -17074.5609  0.2944 
   00049    0.4389  -17058.8630  0.2961 
   00050    0.4228  -17049.0750  0.2987 
