#=====================================================
# File created:        Tue-12-Mar-2024-at-09-06-25PM
# Size of lattice:     30x30
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.117776
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2291.8843  0.2631 
   00001    0.6622   -2702.3743  0.2621 
   00002    0.6322   -3019.4355  0.2776 
   00003    0.5778   -3225.9454  0.2836 
   00004    0.5433   -3391.5561  0.2985 
   00005    0.5189   -3495.3017  0.2973 
   00006    0.5011   -3602.5624  0.2902 
   00007    0.4989   -3666.9605  0.2920 
   00008    0.4911   -3730.1484  0.3121 
   00009    0.4989   -3795.6666  0.3227 
   00010    0.4844   -3862.3270  0.3115 
   00011    0.5111   -3908.9411  0.3070 
   00012    0.4656   -3933.2222  0.3175 
   00013    0.4778   -3980.2067  0.3151 
   00014    0.4678   -4025.9791  0.3167 
   00015    0.4456   -4068.3897  0.3307 
   00016    0.4311   -4089.4113  0.3284 
   00017    0.4333   -4075.1934  0.3210 
   00018    0.4144   -4107.9334  0.3192 
   00019    0.4100   -4114.4268  0.3167 
   00020    0.4467   -4113.2378  0.3210 
   00021    0.4378   -4064.7083  0.3254 
   00022    0.4556   -4103.4824  0.3193 
   00023    0.4433   -4153.5663  0.3275 
   00024    0.4322   -4143.5160  0.3328 
   00025    0.4456   -4163.1805  0.3273 
   00026    0.4056   -4170.3892  0.3321 
   00027    0.4344   -4200.8108  0.3298 
   00028    0.4322   -4240.5810  0.3416 
   00029    0.4356   -4231.4071  0.3580 
   00030    0.4233   -4288.5154  0.3567 
   00031    0.4211   -4286.2013  0.3679 
   00032    0.3944   -4291.5015  0.3638 
   00033    0.4356   -4282.3508  0.3676 
   00034    0.4467   -4293.7541  0.3573 
   00035    0.4156   -4294.2602  0.3524 
   00036    0.4400   -4286.6913  0.3577 
   00037    0.4189   -4296.1789  0.3551 
   00038    0.4344   -4307.4945  0.3728 
   00039    0.4089   -4273.9026  0.3724 
   00040    0.4733   -4276.3911  0.3716 
   00041    0.4233   -4256.1207  0.3818 
   00042    0.4278   -4255.2443  0.3859 
   00043    0.4278   -4255.2872  0.3839 
   00044    0.4278   -4268.9715  0.3803 
   00045    0.4056   -4285.6443  0.3721 
   00046    0.4278   -4284.1707  0.3596 
   00047    0.4322   -4286.4453  0.3604 
   00048    0.4233   -4287.9097  0.3570 
   00049    0.3956   -4267.2222  0.3475 
   00050    0.3989   -4276.6402  0.3547 
