#=====================================================
# File created:        Tue-12-Mar-2024-at-09-07-09PM
# Size of lattice:     60x60
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        13.378341
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -8961.5152  0.2571 
   00001    0.6839  -10677.4865  0.2637 
   00002    0.6156  -11828.7784  0.2703 
   00003    0.5986  -12685.8897  0.2698 
   00004    0.5614  -13246.8199  0.2645 
   00005    0.5353  -13680.6846  0.2727 
   00006    0.5442  -14187.8552  0.2815 
   00007    0.5081  -14620.1527  0.2904 
   00008    0.4908  -14899.5384  0.2950 
   00009    0.4869  -15182.3113  0.2939 
   00010    0.4783  -15399.0323  0.2966 
   00011    0.4672  -15538.3608  0.2990 
   00012    0.4650  -15660.5445  0.2995 
   00013    0.4631  -15838.4489  0.3001 
   00014    0.4592  -15931.7530  0.3093 
   00015    0.4647  -15992.1720  0.3046 
   00016    0.4706  -16097.8587  0.3101 
   00017    0.4722  -16184.8388  0.3059 
   00018    0.4447  -16296.8086  0.3135 
   00019    0.4444  -16415.5986  0.3183 
   00020    0.4442  -16395.4943  0.3213 
   00021    0.4486  -16457.1968  0.3231 
   00022    0.4497  -16479.9847  0.3251 
   00023    0.4439  -16540.0482  0.3270 
   00024    0.4550  -16592.9565  0.3268 
   00025    0.4408  -16683.5209  0.3247 
   00026    0.4219  -16706.3742  0.3192 
   00027    0.4325  -16742.7622  0.3173 
   00028    0.4289  -16770.2856  0.3182 
   00029    0.4278  -16852.4943  0.3197 
   00030    0.4339  -16868.5632  0.3210 
   00031    0.4292  -16851.1274  0.3242 
   00032    0.4264  -16842.9170  0.3245 
   00033    0.4350  -16876.6046  0.3221 
   00034    0.4325  -16900.2832  0.3252 
   00035    0.4256  -16858.5293  0.3238 
   00036    0.4136  -16910.6824  0.3286 
   00037    0.4256  -16986.6497  0.3307 
   00038    0.4483  -16901.1021  0.3345 
   00039    0.4328  -16965.1545  0.3354 
   00040    0.4458  -16963.8986  0.3331 
   00041    0.4144  -16994.5084  0.3368 
   00042    0.4303  -17010.4017  0.3368 
   00043    0.4247  -16989.4084  0.3343 
   00044    0.4092  -16971.8879  0.3326 
   00045    0.4317  -17014.9530  0.3290 
   00046    0.4206  -17041.0685  0.3302 
   00047    0.4344  -17030.4939  0.3284 
   00048    0.4258  -17053.5756  0.3257 
   00049    0.4156  -17091.2763  0.3237 
   00050    0.4114  -17075.9475  0.3284 
