#=====================================================
# File created:        Tue-12-Mar-2024-at-05-51-11PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        14.623941
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9975.1057  0.2577 
   00001    0.6820  -14940.6203  0.2558 
   00002    0.6189  -18065.6281  0.2593 
   00003    0.5862  -20450.8645  0.2635 
   00004    0.5487  -22066.2253  0.2605 
   00005    0.5338  -23446.4797  0.2622 
   00006    0.5268  -24608.1826  0.2630 
   00007    0.5011  -25531.7949  0.2668 
   00008    0.4964  -26401.1170  0.2669 
   00009    0.4911  -27029.5624  0.2671 
   00010    0.4790  -27618.5835  0.2719 
   00011    0.4671  -28118.0546  0.2730 
   00012    0.4645  -28553.3789  0.2766 
   00013    0.4663  -28919.3183  0.2767 
   00014    0.4639  -29215.2981  0.2739 
   00015    0.4591  -29492.7061  0.2731 
   00016    0.4531  -29853.6361  0.2759 
   00017    0.4457  -30090.1034  0.2780 
   00018    0.4483  -30361.7071  0.2769 
   00019    0.4498  -30531.2982  0.2735 
   00020    0.4378  -30595.9473  0.2784 
   00021    0.4479  -30767.3596  0.2807 
   00022    0.4393  -30915.4792  0.2838 
   00023    0.4460  -31136.0302  0.2833 
   00024    0.4419  -31281.6043  0.2833 
   00025    0.4318  -31354.4866  0.2824 
   00026    0.4340  -31417.0623  0.2808 
   00027    0.4373  -31461.0323  0.2798 
   00028    0.4411  -31602.6554  0.2775 
   00029    0.4257  -31578.8595  0.2782 
   00030    0.4357  -31719.0677  0.2746 
   00031    0.4308  -31862.5903  0.2750 
   00032    0.4338  -31846.9638  0.2735 
   00033    0.4284  -31888.0933  0.2744 
   00034    0.4337  -31892.2301  0.2759 
   00035    0.4374  -31917.8501  0.2810 
   00036    0.4307  -32008.3545  0.2780 
   00037    0.4297  -32142.4198  0.2801 
   00038    0.4351  -32172.9696  0.2789 
   00039    0.4354  -32186.4318  0.2762 
   00040    0.4293  -32136.2686  0.2727 
   00041    0.4177  -32210.0206  0.2728 
   00042    0.4292  -32190.9869  0.2768 
   00043    0.4295  -32179.7515  0.2760 
   00044    0.4328  -32316.7788  0.2719 
   00045    0.4226  -32361.2296  0.2699 
   00046    0.4223  -32309.3179  0.2701 
   00047    0.4358  -32307.1286  0.2707 
   00048    0.4320  -32318.5090  0.2707 
   00049    0.4203  -32287.9756  0.2680 
   00050    0.4239  -32335.7952  0.2649 
