#=====================================================
# File created:        Tue-12-Mar-2024-at-09-01-59PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        14.812875
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -24739.7306  0.2580 
   00001    0.6848  -29738.2430  0.2539 
   00002    0.6275  -32768.8608  0.2555 
   00003    0.5893  -34967.1774  0.2562 
   00004    0.5624  -36778.5092  0.2639 
   00005    0.5294  -38018.9556  0.2624 
   00006    0.5286  -39233.7384  0.2679 
   00007    0.5093  -40093.6926  0.2672 
   00008    0.4957  -40962.1621  0.2701 
   00009    0.4939  -41685.0602  0.2689 
   00010    0.4858  -42204.4583  0.2702 
   00011    0.4868  -42722.2278  0.2675 
   00012    0.4777  -43100.7022  0.2631 
   00013    0.4694  -43578.4987  0.2637 
   00014    0.4602  -44079.3837  0.2651 
   00015    0.4679  -44320.4759  0.2659 
   00016    0.4610  -44617.6534  0.2712 
   00017    0.4582  -44933.6840  0.2770 
   00018    0.4404  -45283.0283  0.2760 
   00019    0.4514  -45541.5519  0.2713 
   00020    0.4433  -45736.6947  0.2734 
   00021    0.4436  -45858.9521  0.2768 
   00022    0.4494  -46076.0445  0.2803 
   00023    0.4375  -46189.6582  0.2816 
   00024    0.4314  -46156.7563  0.2879 
   00025    0.4369  -46193.5584  0.2908 
   00026    0.4356  -46323.1943  0.2921 
   00027    0.4322  -46504.2112  0.2961 
   00028    0.4303  -46617.3847  0.2959 
   00029    0.4306  -46755.2470  0.2992 
   00030    0.4280  -46817.1625  0.3000 
   00031    0.4348  -46845.1428  0.3036 
   00032    0.4253  -46906.0015  0.3023 
   00033    0.4289  -46984.3077  0.2990 
   00034    0.4369  -46952.4230  0.3003 
   00035    0.4341  -47065.9521  0.3002 
   00036    0.4302  -47094.3248  0.2994 
   00037    0.4272  -47154.1073  0.2984 
   00038    0.4333  -47186.9242  0.3011 
   00039    0.4245  -47169.4302  0.3024 
   00040    0.4318  -47155.7843  0.3045 
   00041    0.4339  -47202.9926  0.3082 
   00042    0.4368  -47326.4135  0.3075 
   00043    0.4228  -47471.1343  0.3089 
   00044    0.4282  -47538.7400  0.3069 
   00045    0.4238  -47493.2811  0.3059 
   00046    0.4300  -47463.7014  0.3061 
   00047    0.4243  -47413.5913  0.3057 
   00048    0.4283  -47434.0126  0.3060 
   00049    0.4276  -47480.3173  0.3067 
   00050    0.4179  -47574.6254  0.3097 
