LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 TiffTags.py:421(_populate)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
        6    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
       36    0.000    0.000    0.000    0.000 rcsetup.py:744(<genexpr>)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       84    0.000    0.000    0.000    0.000 core.py:3904(<genexpr>)
  306/282    0.000    0.000    0.000    0.000 results.py:159(__init__)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
       13    0.000    0.000    0.000    0.000 deprecation.py:457(<listcomp>)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
       35    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      347    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      946    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        1    0.000    0.000    0.000    0.000 __init__.py:571(get_cachedir)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
     1569    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
     1480    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       29    0.000    0.000    0.000    0.000 pathlib.py:353(_select_from)
       23    0.000    0.000    0.000    0.000 overrides.py:221(decorator)
       74    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      420    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       18    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
       28    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       25    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      189    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
      317    0.000    0.000    0.000    0.000 function_base.py:451(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 helpers.py:14(delimited_list)
       90    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       25    0.000    0.000    0.000    0.000 enum.py:1004(_find_new_)
      661    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 contour.py:705(ContourSet)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:59(comma_separated)
      350    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       58    0.000    0.000    0.000    0.000 typing.py:1656(<genexpr>)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
     12/2    0.000    0.000    0.000    0.000 core.py:1503(makeOptionalList)
       14    0.000    0.000    0.000    0.000 typing.py:1613(copy_with)
        4    0.000    0.000    0.000    0.000 __init__.py:609(gen_candidates)
      103    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       24    0.000    0.000    0.000    0.000 dviread.py:220(decorate)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2787(NavigationToolbar2)
      131    0.000    0.000    0.000    0.000 core.py:1915(__eq__)
      210    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      709    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      104    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
      684    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     1497    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       34    0.000    0.000    0.000    0.000 numeric.py:150(ones)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       14    0.000    0.000    0.000    0.000 core.py:8222(__init__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
      118    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
      409    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
       18    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
       20    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
       60    0.000    0.000    0.000    0.000 inspect.py:2755(replace)
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:422(<listcomp>)
        7    0.000    0.000    0.000    0.000 core.py:1392(__radd__)
       42    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      349    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      655    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 patches.py:3086(ArrowStyle)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:2106(IdentityTransform)
       38    0.000    0.000    0.000    0.000 typing.py:313(_remove_dups_flatten)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
        7    0.000    0.000    0.000    0.000 core.py:5590(__add__)
       14    0.000    0.000    0.000    0.000 core.py:8227(getdoc)
       24    0.000    0.000    0.000    0.000 results.py:431(__iadd__)
        1    0.000    0.000    0.000    0.000 __init__.py:552(get_configdir)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
       32    0.000    0.000    0.000    0.000 __init__.py:667(__init__)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      496    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 ticker.py:2242(LogLocator)
       52    0.000    0.000    0.000    0.000 enum.py:975(_find_data_type_)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
      356    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        4    0.000    0.000    0.000    0.000 colors.py:1679(_make_norm_from_scale)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        2    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
       15    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       28    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
      210    0.000    0.000    0.000    0.000 _parser.py:956(fix_flags)
       51    0.000    0.000    0.000    0.000 colors.py:394(<genexpr>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
        1    0.000    0.000    0.000    0.000 gzip.py:121(GzipFile)
       51    0.000    0.000    0.000    0.000 pathlib.py:536(__str__)
       39    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
      102    0.000    0.000    0.000    0.000 linalg.py:130(_realType)
       18    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:294(HammerAxes)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
       77    0.000    0.000    0.000    0.000 enum.py:929(_check_for_existing_members_)
       23    0.000    0.000    0.000    0.000 core.py:4948(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:2533(SpanSelector)
        1    0.000    0.000    0.000    0.000 widgets.py:1341(TextBox)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       18    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
       44    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
      616    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
     2363    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
      148    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      210    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
  286/142    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       33    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
        1    0.000    0.000    0.000    0.000 widgets.py:615(RangeSlider)
       44    0.000    0.000    0.000    0.000 results.py:533(copy)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:2271(<listcomp>)
     1136    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
      151    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
       77    0.000    0.000    0.000    0.000 _parser.py:309(_class_escape)
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
       11    0.000    0.000    0.000    0.000 functools.py:651(cache)
        1    0.000    0.000    0.000    0.000 core.py:450(DebugActions)
       63    0.000    0.000    0.000    0.000 inspect.py:2065(_signature_is_builtin)
        6    0.000    0.000    0.000    0.000 enum.py:1499(__or__)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
  145/100    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
       10    0.000    0.000    0.000    0.000 core.py:4147(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 enum.py:908(<listcomp>)
        1    0.000    0.000    0.000    0.000 unicode.py:118(pyparsing_unicode)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      562    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       37    0.000    0.000    0.000    0.000 typing.py:1568(<genexpr>)
       30    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
       27    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
       50    0.000    0.000    0.000    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
     1174    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       51    0.000    0.000    0.000    0.000 linalg.py:107(get_linalg_error_extobj)
        1    0.000    0.000    0.000    0.000 contour.py:71(ContourLabeler)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
     1876    0.000    0.000    0.000    0.000 __init__.py:847(<lambda>)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 widgets.py:3733(LassoSelector)
      189    0.000    0.000    0.000    0.000 inspect.py:1947(_signature_get_user_defined_method)
        4    0.000    0.000    0.000    0.000 inspect.py:3064(__hash__)
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
      703    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      105    0.000    0.000    0.000    0.000 _docstring.py:86(copy)
      553    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
      147    0.000    0.000    0.000    0.000 TiffTags.py:27(__new__)
       81    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 patches.py:1259(Arrow)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
       39    0.000    0.000    0.000    0.000 core.py:2981(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:4394(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
   106/64    0.000    0.000    0.000    0.000 typing.py:1669(__hash__)
      318    0.000    0.000    0.000    0.000 __init__.py:781(__iter__)
        3    0.000    0.000    0.000    0.000 pathlib.py:1377(expanduser)
      103    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       22    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 widgets.py:3809(PolygonSelector)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(Cursor)
       36    0.000    0.000    0.000    0.000 core.py:4148(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:6527(__new__)
       33    0.000    0.000    0.000    0.000 contextlib.py:287(helper)
      321    0.000    0.000    0.000    0.000 typing.py:895(__eq__)
       50    0.000    0.000    0.000    0.000 enum.py:770(__getattr__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      596    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      836    0.000    0.000    0.000    0.000 inspect.py:3032(parameters)
       12    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 patches.py:2293(BoxStyle)
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
        6    0.000    0.000    0.000    0.000 pathlib.py:1245(is_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_data_path)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
      154    0.000    0.000    0.000    0.000 core.py:757(preParse)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
       67    0.000    0.000    0.000    0.000 results.py:191(__getitem__)
      248    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
        1    0.000    0.000    0.000    0.000 table.py:37(Cell)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
      791    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7f7176872f20}
      132    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 image.py:1034(NonUniformImage)
       52    0.000    0.000    0.000    0.000 core.py:3819(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:495(_get_xdg_config_dir)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       28    0.000    0.000    0.000    0.000 pathlib.py:657(stem)
      713    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       51    0.000    0.000    0.000    0.000 linalg.py:186(_assert_stacked_square)
        2    0.000    0.000    0.000    0.000 core.py:3727(_setResultsName)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        4    0.000    0.000    0.000    0.000 colors.py:1697(Norm)
        6    0.000    0.000    0.000    0.000 patches.py:2264(<listcomp>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
       83    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        8    0.000    0.000    0.000    0.000 pathlib.py:765(__truediv__)
      310    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       78    0.000    0.000    0.000    0.000 util.py:111(set_)
        1    0.000    0.000    0.000    0.000 _parser.py:1371(_tzparser)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
        1    0.000    0.000    0.000    0.000 __init__.py:505(_get_xdg_cache_dir)
        2    0.000    0.000    0.000    0.000 pathlib.py:1111(mkdir)
       78    0.000    0.000    0.000    0.000 util.py:108(get)
       44    0.000    0.000    0.000    0.000 enum.py:229(__set_name__)
        3    0.000    0.000    0.000    0.000 enum.py:1369(_missing_)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
      251    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1212(AnnotationBbox)
       38    0.000    0.000    0.000    0.000 typing.py:299(_deduplicate)
       25    0.000    0.000    0.000    0.000 _parser.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1671(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 patches.py:3807(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 widgets.py:3051(ToolHandles)
       56    0.000    0.000    0.000    0.000 typing.py:1287(__getattr__)
        8    0.000    0.000    0.000    0.000 core.py:4758(__init__)
       29    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 core.py:238(reload_library)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
      816    0.000    0.000    0.000    0.000 inspect.py:2743(default)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
      409    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
       51    0.000    0.000    0.000    0.000 linalg.py:180(_assert_stacked_2d)
      153    0.000    0.000    0.000    0.000 linalg.py:117(isComplexType)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
       11    0.000    0.000    0.000    0.000 rcsetup.py:336(_validate_cmap)
        1    0.000    0.000    0.000    0.000 LebwohlLasher.py:33(initdat)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
      252    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      256    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       33    0.000    0.000    0.000    0.000 results.py:200(__setitem__)
      201    0.000    0.000    0.000    0.000 rcsetup.py:59(func)
        6    0.000    0.000    0.000    0.000 pathlib.py:1008(stat)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
      242    0.000    0.000    0.000    0.000 core.py:3614(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       96    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
       18    0.000    0.000    0.000    0.000 cycler.py:135(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:2940(ToolLineHandles)
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
        1    0.000    0.000    0.000    0.000 core.py:112(__diag__)
        1    0.000    0.000    0.000    0.000 _parser.py:1373(_result)
       33    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
       49    0.000    0.000    0.000    0.000 typing.py:1641(<genexpr>)
      118    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 core.py:198(update_user_library)
      248    0.000    0.000    0.000    0.000 patches.py:2271(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:4177(Lasso)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f7183f00680}
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
        2    0.000    0.000    0.000    0.000 types.py:67(new_class)
       22    0.000    0.000    0.000    0.000 core.py:959(reset_cache)
        1    0.000    0.000    0.000    0.000 patches.py:27(Patch)
        1    0.000    0.000    0.000    0.000 __init__.py:1243(__init__)
        6    0.000    0.000    0.000    0.000 core.py:4879(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:2338(CompositeGenericTransform)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        3    0.000    0.000    0.000    0.000 six.py:882(wrapper)
      222    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 offsetbox.py:208(OffsetBox)
        1    0.000    0.000    0.000    0.000 __init__.py:882(__init__)
      344    0.000    0.000    0.000    0.000 enum.py:796(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:134(Diagnostics)
       18    0.000    0.000    0.000    0.000 cycler.py:170(change_key)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
        1    0.000    0.000    0.000    0.000 text.py:1615(Annotation)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:996(CheckButtons)
       31    0.000    0.000    0.000    0.000 warnings.py:466(__enter__)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:528(set_results_name)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        2    0.000    0.000    0.000    0.000 pathlib.py:313(select_from)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
      449    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       63    0.000    0.000    0.000    0.000 inspect.py:2077(_signature_is_functionlike)
      102    0.000    0.000    0.000    0.000 exceptions.py:24(__init__)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:778(__contains__)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
        1    0.000    0.000    0.000    0.000 geo.py:297(HammerTransform)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       32    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
       14    0.000    0.000    0.000    0.000 results.py:436(<listcomp>)
       28    0.000    0.000    0.000    0.000 pathlib.py:877(_make_child_relpath)
        1    0.000    0.000    0.000    0.000 Image.py:138(Transpose)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      172    0.000    0.000    0.000    0.000 <frozen _collections_abc>:835(__iter__)
       42    0.000    0.000    0.000    0.000 pathlib.py:523(_format_parsed_parts)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        7    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 quiver.py:445(Quiver)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1090(TimerBase)
        5    0.000    0.000    0.000    0.000 cbook.py:849(__init__)
        1    0.000    0.000    0.000    0.000 _enums.py:27(JoinStyle)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        6    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        1    0.000    0.000    0.000    0.000 quiver.py:866(Barbs)
       17    0.000    0.000    0.000    0.000 rcsetup.py:273(validate_color_or_auto)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:12(__config_flags)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        1    0.000    0.000    0.000    0.000 polar.py:18(PolarTransform)
        1    0.000    0.000    0.000    0.000 geo.py:344(MollweideTransform)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       15    0.000    0.000    0.000    0.000 copyreg.py:113(_slotnames)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        2    0.000    0.000    0.000    0.000 rcsetup.py:441(_validate_papersize)
        8    0.000    0.000    0.000    0.000 core.py:5716(<genexpr>)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.000    0.000 backend_bases.py:153(RendererBase)
       11    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
