LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.011    0.006 core.py:206(read_style_directory)
     6024    0.006    0.000    0.011    0.000 inspect.py:2686(__init__)
       47    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
      973    0.001    0.000    0.011    0.000 __init__.py:711(__setitem__)
       47    0.010    0.000    0.011    0.000 {built-in method _imp.create_dynamic}
      210    0.000    0.000    0.010    0.000 _compiler.py:571(_code)
      437    0.000    0.000    0.010    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.010    0.010 axis3d.py:1(<module>)
    67902    0.010    0.000    0.010    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.009    0.009 polar.py:1(<module>)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
    91877    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
      105    0.002    0.000    0.008    0.000 artist.py:170(<listcomp>)
       94    0.001    0.000    0.008    0.000 __init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
      954    0.000    0.000    0.008    0.000 artist.py:1542(is_alias)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
147365/146225    0.007    0.000    0.007    0.000 {built-in method builtins.len}
 1106/210    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
      285    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        2    0.000    0.000    0.007    0.004 version.py:1(<module>)
        2    0.000    0.000    0.007    0.004 common.py:1(<module>)
     4252    0.003    0.000    0.007    0.000 artist.py:1555(aliased_name)
    57035    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.007    0.003 ElementTree.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_tools.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:335(_sanity_check)
        1    0.006    0.006    0.006    0.006 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.006    0.006 textpath.py:1(<module>)
        1    0.000    0.000    0.006    0.006 category.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _distributor_init.py:1(<module>)
       51    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(eig)
    54858    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
16017/16004    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
       51    0.003    0.000    0.006    0.000 linalg.py:1168(eig)
      875    0.004    0.000    0.006    0.000 inspect.py:2972(__init__)
      337    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
2533/2123    0.002    0.000    0.006    0.000 {built-in method __new__ of type object at 0x860f60}
    77851    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 cm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       29    0.001    0.000    0.005    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.005    0.005 helpers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
        1    0.000    0.000    0.005    0.005 common.py:8(pyparsing_common)
        1    0.000    0.000    0.005    0.005 uuid.py:1(<module>)
     3119    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       18    0.000    0.000    0.004    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
      100    0.003    0.000    0.004    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
     6468    0.003    0.000    0.004    0.000 enum.py:686(__call__)
       12    0.000    0.000    0.004    0.000 core.py:1076(parse_string)
      570    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
      314    0.000    0.000    0.004    0.000 overrides.py:170(decorator)
        3    0.000    0.000    0.004    0.001 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.004    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.004    0.004 mathtext.py:1(<module>)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
      285    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.004    0.001 patches.py:2257(<listcomp>)
     8897    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      410    0.002    0.000    0.003    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       50    0.002    0.000    0.003    0.000 {built-in method builtins.eval}
       13    0.000    0.000    0.003    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.003    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
   306/12    0.001    0.000    0.003    0.000 core.py:776(_parseNoCache)
        1    0.000    0.000    0.003    0.003 cbook.py:1(<module>)
